"Attribute"
"Attribute","Service Feature Code"
"Attribute","Allowed Prefix"
"Attribute","Benefits"
"PackagedProduct"
"PackagedProduct","Mandatory"
"PackagedProduct","Optional"
"PackagedProduct","Hidden"
"Counter"
"Counter","Main"
"Counter","Accumulated"
"NonUsage"
"NonUsage","Subscription"
"NonUsage","Subscription","Charge"
"NonUsage","Subscription","Bonus"
"NonUsage","Activation"
"NonUsage","Activation","Bonus"
"NonUsage","Unsubscription"
"NonUsage","Unsubscription","Charge"
"NonUsage","UsageEnd"
"NonUsage","UsageEnd","Bonus"
"NonUsage","Recurring"
"NonUsage","Recurring","Charge"
"NonUsage","Recurring","Bonus"
"NonUsage","Rollover"
"NonUsage","UnitTransfer"
"NonUsage","UnitTransfer","Scheme"
"NonUsage","UnitTransfer","Charge"
"NonUsage","Other_OneTimeCharge"
"NonUsage","Deposit Scheme"
"NonUsage","Threshold Scheme"
"Usage"
"Usage","Voice"
"Usage","SMS"
"Usage","Data"
